transaction_id,trial_id,trial_name,partition_name
04bad6dcc102f7f77c64229354be1f855c76ed6f,a4de38f7,FACE_NEUTRAL_WITHOUT_GLASS,train
04bad6dcc102f7f77c64229354be1f855c76ed6f,faa0eb3e,FACE_SMILE_WITHOUT_GLASS,train
04bad6dcc102f7f77c64229354be1f855c76ed6f,3c6b783f,FACE_NEUTRAL_WITH_GLASS,train
04bad6dcc102f7f77c64229354be1f855c76ed6f,15d468f5,FACE_FROWN_WITH_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76ef38,c4a21871,FACE_SMILE_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76eff4,b2577ad4,FACE_NEUTRAL_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76eff4,ee40299a,FACE_SMILE_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76eff4,90ab81d4,FACE_FROWN_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76eff4,fb319445,FACE_NEUTRAL_WITH_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76eff4,626ae73a,FACE_SMILE_WITH_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76eff4,6c7f6023,FACE_FROWN_WITH_GLASS,train
f02bb8e751c21e34efa515cd259c9c3f5c76f0c2,bb82cb21,FACE_NEUTRAL_WITHOUT_GLASS,train
f02bb8e751c21e34efa515cd259c9c3f5c76f0c2,e7bbc492,FACE_SMILE_WITHOUT_GLASS,train
f02bb8e751c21e34efa515cd259c9c3f5c76f0c2,a29d47f4,FACE_FROWN_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76f16f,1338eba3,FACE_NEUTRAL_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76f16f,85f8c529,FACE_SMILE_WITHOUT_GLASS,train
dab9b50ddf6e50bffb6a9a8fd4bede0f5c76f16f,4e3d43c8,FACE_FROWN_WITHOUT_GLASS,train
eb4d496e9e0ed7a207fb4656884e6ee55c76f3fd,9024f20f,FACE_NEUTRAL_WITHOUT_GLASS,train
eb4d496e9e0ed7a207fb4656884e6ee55c76f3fd,f22d3b64,FACE_SMILE_WITHOUT_GLASS,train
eb4d496e9e0ed7a207fb4656884e6ee55c76f3fd,991dde69,FACE_FROWN_WITHOUT_GLASS,train
eb4d496e9e0ed7a207fb4656884e6ee55c76f3fd,84ea0b7f,FACE_NEUTRAL_WITH_GLASS,train
eb4d496e9e0ed7a207fb4656884e6ee55c76f3fd,147c81f6,FACE_SMILE_WITH_GLASS,train
eb4d496e9e0ed7a207fb4656884e6ee55c76f3fd,040cf979,FACE_FROWN_WITH_GLASS,train
04bad6dcc102f7f77c64229354be1f855c76f5dd,7bc51881,FACE_NEUTRAL_WITHOUT_GLASS,train
04bad6dcc102f7f77c64229354be1f855c76f5dd,6c59fae1,FACE_SMILE_WITHOUT_GLASS,train
04bad6dcc102f7f77c64229354be1f855c76f5dd,182d0768,FACE_FROWN_WITHOUT_GLASS,train
f02bb8e751c21e34efa515cd259c9c3f5c76fb0b,e06ff196,FACE_NEUTRAL_WITH_GLASS,train
f02bb8e751c21e34efa515cd259c9c3f5c76fb0b,101a590c,FACE_SMILE_WITH_GLASS,train
