transaction_id,trial_id,trial_name,partition_name
e3778d920cc7d103f51d87ed466e0f0c5c79b438,56583c71,FINGER_RIGHT_INDEX,train
e3778d920cc7d103f51d87ed466e0f0c5c79b438,145fb6cf,FINGER_RIGHT_MIDDLE,train
e3778d920cc7d103f51d87ed466e0f0c5c79b438,a1c66872,FINGER_RIGHT_RING,train
288699f5675556fe727411fae93b43f65c7eb687,d367af8d,FINGER_RIGHT_INDEX,train
288699f5675556fe727411fae93b43f65c7eb687,47e941d1,FINGER_RIGHT_RING,train
90ae35ac3172db85543a95e6b594fd135c7efae8,8a32921f,FINGER_RIGHT_RING,train
d78f06a71026e4ed458894dbd6ca6bb35c7f0be0,6ed0973a,FINGER_RIGHT_INDEX,train
d78f06a71026e4ed458894dbd6ca6bb35c7f0be0,6d0e912a,FINGER_RIGHT_RING,train
2ab663c5ad417782d576d6c3dcb5eaa55c8015df,c0759103,FINGER_RIGHT_MIDDLE,train
b9cf3d9d7a6edaa8e01647b57c3712095c817c85,1ae6b42d,FINGER_RIGHT_INDEX,train
b9cf3d9d7a6edaa8e01647b57c3712095c817c85,3cc57398,FINGER_RIGHT_MIDDLE,train
ce8a7b9639eba3b2d67ed3ffc61e05b15c7982aa,a20d153d,FINGER_RIGHT_RING,train
90ae35ac3172db85543a95e6b594fd135c7efae8,dddc5e93,FINGER_RIGHT_INDEX,train
33446d000a6c71712c946418384476ca5c81acce,d7ec1d47,FINGER_RIGHT_RING,train
33446d000a6c71712c946418384476ca5c81acce,80093602,FINGER_RIGHT_INDEX,train
5fb16993e0cc73694904e200c5605d415c771b69,8ff2b3a9,FINGER_RIGHT_RING,train
5fb16993e0cc73694904e200c5605d415c771b69,8a433a9a,FINGER_RIGHT_INDEX,train
ce8a7b9639eba3b2d67ed3ffc61e05b15c7982aa,5104675b,FINGER_RIGHT_MIDDLE,train
29e60060b6657a2189cb37a41ec91c515c79be9c,d7a54be3,FINGER_RIGHT_INDEX,train
29e60060b6657a2189cb37a41ec91c515c79be9c,aff1ba75,FINGER_RIGHT_MIDDLE,train
29e60060b6657a2189cb37a41ec91c515c79be9c,7e392e3c,FINGER_LEFT_INDEX,train
b9cf3d9d7a6edaa8e01647b57c3712095c817c85,fb81efbd,FINGER_RIGHT_RING,train
